index,Polymer Name,SMILES1,SMILES2,MorganFingerprint_SMILES1,MorganFingerprint_SMILES2,C1,C2,Tg[K],Tensile_Strength_preferred,Tensile Strength_units,Elongation_preferred,Elongation_units,Elastic Modulus_preferred,Elastic Modulus_units
8102,"Poly(ethylene-co-2,2,4,4-tetramethyl-1,3-cyclobutanediol
2,5-furandicarboxylate)s",c1cc(oc1C(=O)OC)C(=O)OC1C(C(C1(C)C))(C)C,*c1cc(oc1C(=O)OC)C(=O)OCC*,"[145, 310, 439, 492, 650, 656, 669, 695, 807, 841, 906, 926, 1019, 1057, 1060, 1126, 1152, 1232, 1250, 1274, 1291, 1380, 1404, 1440, 1604, 1750, 1754, 1873, 1903, 1917, 1996]","[13, 80, 90, 145, 147, 226, 247, 264, 302, 587, 650, 656, 695, 759, 807, 841, 853, 875, 906, 1057, 1117, 1152, 1303, 1380, 1457, 1592, 1604, 1669, 1753, 1754, 1873, 1917, 1948, 1959]",85,15,365.25,95,[Mpa],4.9,[%],3240,[Mpa]
8101,"Poly(ethylene-co-2,2,4,4-tetramethyl-1,3-cyclobutanediol
2,5-furandicarboxylate)s",c1cc(oc1C(=O)OC)C(=O)OC1C(C(C1(C)C))(C)C,*c1cc(oc1C(=O)OC)C(=O)OCC*,"[145, 310, 439, 492, 650, 656, 669, 695, 807, 841, 906, 926, 1019, 1057, 1060, 1126, 1152, 1232, 1250, 1274, 1291, 1380, 1404, 1440, 1604, 1750, 1754, 1873, 1903, 1917, 1996]","[13, 80, 90, 145, 147, 226, 247, 264, 302, 587, 650, 656, 695, 759, 807, 841, 853, 875, 906, 1057, 1117, 1152, 1303, 1380, 1457, 1592, 1604, 1669, 1753, 1754, 1873, 1917, 1948, 1959]",90,10,364.05,93,[Mpa],1,[%],3000,[Mpa]
8100,"Poly(ethylene-co-2,2,4,4-tetramethyl-1,3-cyclobutanediol
2,5-furandicarboxylate)s",c1cc(oc1C(=O)OC)C(=O)OC1C(C(C1(C)C))(C)C,*c1cc(oc1C(=O)OC)C(=O)OCC*,"[145, 310, 439, 492, 650, 656, 669, 695, 807, 841, 906, 926, 1019, 1057, 1060, 1126, 1152, 1232, 1250, 1274, 1291, 1380, 1404, 1440, 1604, 1750, 1754, 1873, 1903, 1917, 1996]","[13, 80, 90, 145, 147, 226, 247, 264, 302, 587, 650, 656, 695, 759, 807, 841, 853, 875, 906, 1057, 1117, 1152, 1303, 1380, 1457, 1592, 1604, 1669, 1753, 1754, 1873, 1917, 1948, 1959]",96,4,362.05,92,[Mpa],5,[%],2870,[Mpa]
8099,"Poly(ethylene-co-2,2,4,4-tetramethyl-1,3-cyclobutanediol
2,5-furandicarboxylate)s",c1cc(oc1C(=O)OC)C(=O)OC1C(C(C1(C)C))(C)C,*c1cc(oc1C(=O)OC)C(=O)OCC*,"[145, 310, 439, 492, 650, 656, 669, 695, 807, 841, 906, 926, 1019, 1057, 1060, 1126, 1152, 1232, 1250, 1274, 1291, 1380, 1404, 1440, 1604, 1750, 1754, 1873, 1903, 1917, 1996]","[13, 80, 90, 145, 147, 226, 247, 264, 302, 587, 650, 656, 695, 759, 807, 841, 853, 875, 906, 1057, 1117, 1152, 1303, 1380, 1457, 1592, 1604, 1669, 1753, 1754, 1873, 1917, 1948, 1959]",100,0,360.15,76,[Mpa],4,[%],2680,[Mpa]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8568,"Poly[(propylene naphthalate)-co-(2,5-thiophenedicarboxylate)]",*OCCCOC(=O)c1ccc2c(c1)ccc(c2)C(=O)*,O(CCCOC(=O)c1sc(cc1)C(=O)*)*,"[13, 59, 80, 145, 147, 203, 226, 264, 322, 469, 539, 650, 695, 807, 875, 1380, 1385, 1522, 1546, 1592, 1647, 1688, 1697, 1734, 1746, 1749, 1750, 1753, 1855, 1873, 1911, 1917, 1950]","[13, 59, 80, 145, 147, 162, 226, 264, 298, 419, 623, 650, 675, 695, 807, 840, 941, 1380, 1490, 1592, 1647, 1688, 1734, 1746, 1749, 1750, 1753, 1873, 1911, 1917, 1952]",0,100,309.25,45.1,[Mpa],320,[%],1150,[Mpa]
8567,"Poly[(propylene naphthalate)-co-(2,5-thiophenedicarboxylate)]",*OCCCOC(=O)c1ccc2c(c1)ccc(c2)C(=O)*,O(CCCOC(=O)c1sc(cc1)C(=O)*)*,"[13, 59, 80, 145, 147, 203, 226, 264, 322, 469, 539, 650, 695, 807, 875, 1380, 1385, 1522, 1546, 1592, 1647, 1688, 1697, 1734, 1746, 1749, 1750, 1753, 1855, 1873, 1911, 1917, 1950]","[13, 59, 80, 145, 147, 162, 226, 264, 298, 419, 623, 650, 675, 695, 807, 840, 941, 1380, 1490, 1592, 1647, 1688, 1734, 1746, 1749, 1750, 1753, 1873, 1911, 1917, 1952]",24,76,315.95,58.7,[Mpa],130,[%],1410,[Mpa]
8566,"Poly[(propylene naphthalate)-co-(2,5-thiophenedicarboxylate)]",*OCCCOC(=O)c1ccc2c(c1)ccc(c2)C(=O)*,O(CCCOC(=O)c1sc(cc1)C(=O)*)*,"[13, 59, 80, 145, 147, 203, 226, 264, 322, 469, 539, 650, 695, 807, 875, 1380, 1385, 1522, 1546, 1592, 1647, 1688, 1697, 1734, 1746, 1749, 1750, 1753, 1855, 1873, 1911, 1917, 1950]","[13, 59, 80, 145, 147, 162, 226, 264, 298, 419, 623, 650, 675, 695, 807, 840, 941, 1380, 1490, 1592, 1647, 1688, 1734, 1746, 1749, 1750, 1753, 1873, 1911, 1917, 1952]",50,50,332.85,62.5,[Mpa],244,[%],1430,[Mpa]
8565,"Poly[(propylene naphthalate)-co-(2,5-thiophenedicarboxylate)]",*OCCCOC(=O)c1ccc2c(c1)ccc(c2)C(=O)*,O(CCCOC(=O)c1sc(cc1)C(=O)*)*,"[13, 59, 80, 145, 147, 203, 226, 264, 322, 469, 539, 650, 695, 807, 875, 1380, 1385, 1522, 1546, 1592, 1647, 1688, 1697, 1734, 1746, 1749, 1750, 1753, 1855, 1873, 1911, 1917, 1950]","[13, 59, 80, 145, 147, 162, 226, 264, 298, 419, 623, 650, 675, 695, 807, 840, 941, 1380, 1490, 1592, 1647, 1688, 1734, 1746, 1749, 1750, 1753, 1873, 1911, 1917, 1952]",77,23,341.05,58,[Mpa],162,[%],1090,[Mpa]
8564,"Poly[(propylene naphthalate)-co-(2,5-thiophenedicarboxylate)]",*OCCCOC(=O)c1ccc2c(c1)ccc(c2)C(=O)*,O(CCCOC(=O)c1sc(cc1)C(=O)*)*,"[13, 59, 80, 145, 147, 203, 226, 264, 322, 469, 539, 650, 695, 807, 875, 1380, 1385, 1522, 1546, 1592, 1647, 1688, 1697, 1734, 1746, 1749, 1750, 1753, 1855, 1873, 1911, 1917, 1950]","[13, 59, 80, 145, 147, 162, 226, 264, 298, 419, 623, 650, 675, 695, 807, 840, 941, 1380, 1490, 1592, 1647, 1688, 1734, 1746, 1749, 1750, 1753, 1873, 1911, 1917, 1952]",100,0,355.85,62.7,[Mpa],148,[%],1190,[Mpa]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
